date,short_story,full_story,title,category,alt_name
2023-07-05 10:07:13.328664,"<p> <center><a href=""https://www.amazon.de/dp/342463235X?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41TkDX9FQ8L._SX313_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €17.99</p> Bauplan für die SeeleWie funktioniert der Mensch? Gibt es einen Bauplan für die Psyche, ein geistiges Grundgerüst, das alle Menschen teilen? Bestseller-Autorin Stefanie Stahl liefert faszinierende Ein...","<p> <center><a href=""https://www.amazon.de/dp/342463235X?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41TkDX9FQ8L._SX313_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €17.99</p> Bauplan für die SeeleWie funktioniert der Mensch? Gibt es einen Bauplan für die Psyche, ein geistiges Grundgerüst, das alle Menschen teilen? Bestseller-Autorin Stefanie Stahl liefert faszinierende Einblicke in das Zusammenspiel von Wahrnehmung, Bewusstsein und Verhalten. Leichtfüßig und fundiert erklärt sie, warum Glücksgefühle unsere Lebensdroge sind, wie subjektiv die Wahrnehmung von der Welt ist und wie sich durch Erziehung und Erfahrungen das Selbstbild formt. Spannende Protokolle aus der Therapiepraxis sowie wertvolle Impulse zur Lösung seelischer Konflikte machen diese Reise in unser Innerstes zu einem wahren Erlebnis.Ein umfassender Einblick in unsere innere Schaltzentrale von Deutschlands Psychologin Nr. 1. <p><strong>   Print length      384 pages   <br>   Language      German   <br>   Publisher      Kailash   <br>   Publication date      13 Oct. 2022   <br>   Dimensions      14.2 x 4.2 x 22.1 cm   <br>   ISBN-10      342463235X   <br>   ISBN-13      978-3424632354   </strong></p><p> <center><a href=""https://www.amazon.de/dp/342463235X?&tag=buch0ed-21"" target=""_blank"">Wer wir sind: Wie wir wahrnehmen, fühlen und lieben - Alles, was Sie über Psychologie wissen sollten</a></center> </p>","Wer wir sind: Wie wir wahrnehmen, fühlen und lieben - Alles, was Sie über Psychologie wissen sollten",24,wer-wir-sind-wie-wir-wahrnehmen-fhlen-und-lieben-alles-was-sie-ber-psychologie-wissen-sollte
2023-07-05 10:07:18.386585,"<p> <center><a href=""https://www.amazon.de/dp/3423209690?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41S8JLRKi2L._SX298_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> Humorvoll und anrührendEin kleines Café mitten im Nirgendwo wird zum Wendepunkt im Leben von John, einem Werbemanager, der stets in Eile ist. Eigentlich will er nur kurz Rast machen, doch dann entdeck...","<p> <center><a href=""https://www.amazon.de/dp/3423209690?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41S8JLRKi2L._SX298_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> Humorvoll und anrührendEin kleines Café mitten im Nirgendwo wird zum Wendepunkt im Leben von John, einem Werbemanager, der stets in Eile ist. Eigentlich will er nur kurz Rast machen, doch dann entdeckt er auf der Speisekarte neben dem Menü des Tages drei Fragen:»Warum bist du hier? Hast du Angst vor dem Tod? Führst du ein erfülltes Leben?« Wie seltsam – doch einmal neugierig geworden, will John mithilfe des Kochs, der Bedienung und eines Gastes dieses Geheimnis ergründen.Die Fragen nach dem Sinn des Lebens führen ihn gedanklich weit weg von seiner Vorstandsetage an die Meeresküste von Hawaii. Dabei verändert sich seine Einstellung zum Leben und zu seinen Beziehungen, und er erfährt, wie viel man von einer weisen grünen Meeresschildkröte lernen kann. So gerät diese Reise letztlich zu einer Reise zum eigenen Selbst. Ein ebenso lebendig geschriebenes, humorvolles wie anrührendes Buch.Durchgehend vierfarbig, mit Illustrationen von Root Leeb.Kennen Sie schon den Kalender „Mein Jahr im Café am Rande der Welt 2024“?Genießen Sie ein Jahr voller Anregungen von John Strelecky – mit klugen poetischen Geschichten, wunderschön gestaltet und im praktischen Format. (EAN 9783423283281) <p><strong>   Book 1 of 4      Das Café am Rande der Welt   <br>   Print length      128 pages   <br>   Language      German   <br>   Publisher      dtv   <br>   Publication date      1 Feb. 2007   <br>   Dimensions      10.9 x 1.2 x 18.3 cm   <br>   ISBN-10      3423209690   <br>   ISBN-13      978-3423209694   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3423209690?&tag=buch0ed-21"" target=""_blank"">Das Café am Rande der Welt: eine Erzählung über den Sinn des Lebens</a></center> </p>",Das Café am Rande der Welt: eine Erzählung über den Sinn des Lebens,24,das-caf-am-rande-der-welt-eine-erzhlung-ber-den-sinn-des-leben
2023-07-05 10:07:22.408688,"<p> <center><a href=""https://www.amazon.de/dp/349900836X?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41XcOMeficL._SX330_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> 50 wahre Wunderwaffen für mehr Souveränität im AlltagEs ist schon abenteuerlich, was wir zwischen Guten Morgen und Gute Nacht rhetorisch alles erleben: Schlichte Sätze werden zu Annahmen, Vorwürfen, U...","<p> <center><a href=""https://www.amazon.de/dp/349900836X?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41XcOMeficL._SX330_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> 50 wahre Wunderwaffen für mehr Souveränität im AlltagEs ist schon abenteuerlich, was wir zwischen Guten Morgen und Gute Nacht rhetorisch alles erleben: Schlichte Sätze werden zu Annahmen, Vorwürfen, Unterstellungen uminterpretiert – im Eifer des Gefechts fallen uns die wirklich souveränen und schlagfertigen Sätze natürlich nicht ein. Karin Kuschik hat in über zwanzig Jahren als Selbstführungs-Coach erlebt, wie wir uns durch fehlende Klarheit, Abgrenzung und Wertschätzung Drama kreieren, und sie hat effektive Lösungen parat, die uns das Leben leichter machen. Keine komplizierten Tools, sondern griffige Formulierungen, die wir leicht erinnern. Mit viel Herz und Scharfsinn erzählt sie in diesem Buch Geschichten aus dem wahren Leben, berichtet von Sätzen, die Gold wert waren, und eröffnet die wundervolle Welt der wirksamen Worte. Fast nebenbei kommen wir mit jedem Satz diesem wunderbar gelassenen Ort in uns näher, von dem aus alles ganz selbstverständlich möglich scheint: innere Souveränität.Karin Kuschik versammelt in diesem Buch 50 wahre Wunderwaffen für mehr Souveränität im Alltag – beruflich wie privat. Kleine Sätze mit großer Wirkung, die uns aus dem Stand beruhigen, ordentlich für Verblüffung sorgen und das Leben leichter machen. «Sie ist die Frau hinter den Spitzenmanagern. Zu Karin Kuschik kommen die Top-Führungskräfte, wenn sie nicht mehr weiterwissen.» ZEIT online«Dieses Buch ist ein Genuss! Auf den Punkt gebrachte Inhalte, deren Wahrhaftigkeit berührt und die für jeden von uns von unschätzbarem Wert sein können. Endlich macht Karin Kuschik ihr Wissen öffentlich.» Thimon von Berlepsch, Magier und Hypnotiseur«Karin ist eine meiner wichtigsten Mentorinnen, wenn es darum geht, die richtigen Worte zu finden und sich selbst die richtigen Fragen zu stellen. Mit ihrem wundervollen Buch dürfen endlich alle in diesen Genuss kommen.» Laura Malina Seiler, Bestsellerautorin, Podcasterin und Coach«Diese Frau trifft sofort ins Schwarze! Und so springe ich plötzlich, gewappnet mit klugen, anwendbaren Tools, vom 10-Meter-Turm meines Lebens, als ob ich das schon immer getan hätte.» Wolfgang Eissler, Regisseur <p><strong>   Print length      320 pages   <br>   Language      German   <br>   Publisher      Rowohlt Taschenbuch   <br>   Publication date      22 Mar. 2022   <br>   Dimensions      12.6 x 2.8 x 19 cm   <br>   ISBN-10      349900836X   <br>   ISBN-13      978-3499008368   </strong></p><p> <center><a href=""https://www.amazon.de/dp/349900836X?&tag=buch0ed-21"" target=""_blank"">50 Sätze, die das Leben leichter machen: Ein Kompass für mehr innere Souveränität | Der SPIEGEL-Bestseller #1</a></center> </p>","50 Sätze, die das Leben leichter machen: Ein Kompass für mehr innere Souveränität | Der SPIEGEL-Bestseller #1",24,50-stze-die-das-leben-leichter-machen-ein-kompass-fr-mehr-innere-souvernitt-der-spiegelbestseller-
2023-07-05 10:07:25.975410,"<p> <center><a href=""https://www.amazon.de/dp/0593189647?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41DK3BVS1OL._SX331_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €12.99</p> The #1 New York Times bestseller. Over 10 million copies sold!Tiny Changes, Remarkable ResultsNo matter your goals, Atomic Habits offers a proven framework for improving--every day. James Clear, one o...","<p> <center><a href=""https://www.amazon.de/dp/0593189647?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41DK3BVS1OL._SX331_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €12.99</p> The #1 New York Times bestseller. Over 10 million copies sold!Tiny Changes, Remarkable ResultsNo matter your goals, Atomic Habits offers a proven framework for improving--every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results.If you're having trouble changing your habits, the problem isn't you. The problem is your system. Bad habits repeat themselves again and again not because you don't want to change, but because you have the wrong system for change. You do not rise to the level of your goals. You fall to the level of your systems. Here, you'll get a proven system that can take you to new heights.Clear is known for his ability to distill complex topics into simple behaviors that can be easily applied to daily life and work. Here, he draws on the most proven ideas from biology, psychology, and neuroscience to create an easy-to-understand guide for making good habits inevitable and bad habits impossible. Along the way, readers will be inspired and entertained with true stories from Olympic gold medalists, award-winning artists, business leaders, life-saving physicians, and star comedians who have used the science of small habits to master their craft and vault to the top of their field.Learn how to:make time for new habits (even when life gets crazy);overcome a lack of motivation and willpower;design your environment to make success easier;get back on track when you fall off course;...and much more.Atomic Habits will reshape the way you think about progress and success, and give you the tools and strategies you need to transform your habits--whether you are a team looking to win a championship, an organization hoping to redefine an industry, or simply an individual who wishes to quit smoking, lose weight, reduce stress, or achieve any other goal. <p><strong>   Reading age       18+ years, from customers     <br>   Print length      320 pages   <br>   Language      English   <br>   Dimensions      22.7 x 2.4 x 15.2 cm   <br>   Publisher      Penguin Publishing Group   <br>   Publication date      1 Oct. 2019   <br>   ISBN-10      0593189647   <br>   ISBN-13      978-0593189641   </strong></p><p> <center><a href=""https://www.amazon.de/dp/0593189647?&tag=buch0ed-21"" target=""_blank"">Atomic Habits (EXP): An Easy & Proven Way to Build Good Habits & Break Bad Ones</a></center> </p>",Atomic Habits (EXP): An Easy & Proven Way to Build Good Habits & Break Bad Ones,24,atomic-habits-exp-an-easy-proven-way-to-build-good-habits-break-bad-one
2023-07-05 10:07:29.789743,"<p> <center><a href=""https://www.amazon.de/dp/1544512279?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41F4Pg6SumL._SX331_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €6.49</p> New York Times Best SellerOver 4 million copies soldFor David Goggins, childhood was a nightmare -- poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-dis...","<p> <center><a href=""https://www.amazon.de/dp/1544512279?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41F4Pg6SumL._SX331_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €6.49</p> New York Times Best SellerOver 4 million copies soldFor David Goggins, childhood was a nightmare -- poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself from a depressed, overweight young man with no future into a U.S. Armed Forces icon and one of the world's top endurance athletes. The only man in history to complete elite training as a Navy SEAL, Army Ranger, and Air Force Tactical Air Controller, he went on to set records in numerous endurance events, inspiring Outside magazine to name him ""The Fittest (Real) Man in America.""In Can't Hurt Me, he shares his astonishing life story and reveals that most of us tap into only 40% of our capabilities. Goggins calls this The 40% Rule, and his story illuminates a path that anyone can follow to push past pain, demolish fear, and reach their full potential. <p><strong>   Print length      364 pages   <br>   Language      English   <br>   Publication date      10 Dec. 2018   <br>   Dimensions      15.24 x 2.31 x 22.86 cm   <br>   ISBN-10      1544512279   <br>   ISBN-13      978-1544512273   </strong></p><p> <center><a href=""https://www.amazon.de/dp/1544512279?&tag=buch0ed-21"" target=""_blank"">Can't Hurt Me: Master Your Mind and Defy the Odds</a></center> </p>",Can't Hurt Me: Master Your Mind and Defy the Odds,24,cant-hurt-me-master-your-mind-and-defy-the-odd
2023-07-05 10:07:33.598099,"<p> <center><a href=""https://www.amazon.de/dp/B09Q9Q6MMF?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41CKlzcgN3L._SX331_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €0.00</p> ψ Positive Psychologie - Grübeln stoppen, Gelassenheit lernen und Positiv DenkenWie Sie negative Gedanken in den Griff bekommen, Ängste stoppen & mit neuem Selbstbewusstsein Ihr Leben in Freude lebenE...","<p> <center><a href=""https://www.amazon.de/dp/B09Q9Q6MMF?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41CKlzcgN3L._SX331_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €0.00</p> ψ Positive Psychologie - Grübeln stoppen, Gelassenheit lernen und Positiv DenkenWie Sie negative Gedanken in den Griff bekommen, Ängste stoppen & mit neuem Selbstbewusstsein Ihr Leben in Freude lebenEs gibt eine Sache auf dieser Welt, die alle Menschen miteinander verbindet, nämlich die Tatsache, dass wir alle glücklich leben möchten. Sind Sie zufrieden mit Ihrem Leben? Sind Sie glücklich? Oder sind Sie eher noch auf der Suche nach dem richtigen Weg? Wer sein Leben nachhaltig verändern will, der sollte keine Sekunde mehr zögern und dieses Buch lesen.Mit Hilfe des Glücksprinzips kann jeder Mensch lernen, wie er sein eigenes Leben in die richtige Bahn lenken kann. Wir machen Schluss mit den ständigen Grübeleien, bauen unser Selbstwertgefühl neu auf und starten mit positiven Gedanken in eine glückliche Zukunft.Jeder von uns ist in der Lage, mit Hilfe positiver Gedanken sein Leben von Grund auf zu verändern und das Einzige, was Sie dafür tun müssen, ist an Sie zu glauben. Ich zeige Ihnen alle wichtigen Wege und Schritte und mit Hilfe verschiedener Übungen werden Sie schnell ein sehr viel besseres Gefühl von sich selber bekommen.In meinem Buch zeige ich Ihnen, wie Sie das ständige Grübeln ablegen und Ihre Gedanken in eine positive Richtung lenken können. Wer sich glücklich fühlen kann, der wird das Glück auch finden.Die negativen Gedanken in den Griff zu bekommen, ist ein Lernprozess, den wir in diesem Buch Schritt für Schritt durchlaufen werden und somit werden Sie am Ende des Buches mit neuer Kraft in ein glückliches Leben starten.Fehlendes Selbstbewusstsein können wir in Stärke umwandeln und Sie werden sich so gut wie nie zuvor in ihrem Leben fühlen. Ferner zeige ich Ihnen auf, wie Sie Ängste stoppen und wir blicken tiefer hinein, wo Ihre Ängste erstanden sind.Dieses Buch sollten Sie kaufen, wenn Sie…• Ihr Leben glücklich gestalten wollen.• bezwecken negative Gedanken in positive umzuwandeln.• mit Hilfe einer Schritt- für-Schritt-Anweisung beabsichtigen, den richtigen Weg zu finden.• nun als neues Ziel haben, Ihr Selbstwertgefühl zu stärken.• es sich zur Aufgabe gemacht haben, Ihre Ängste zu stoppen.• Gelassenheit in Ihr Leben holen möchten.Nie war es einfacher, Ihr Leben zu verändern, denn Sie müssen sich nur für den Kauf dieses Buches entscheiden. <p><strong>   Print length      129 pages   <br>   Language      German   <br>   Publication date      12 Jan. 2022   <br>   Dimensions      15.24 x 0.84 x 22.86 cm   <br>   ISBN-13      979-8799754006   </strong></p><p> <center><a href=""https://www.amazon.de/dp/B09Q9Q6MMF?&tag=buch0ed-21"" target=""_blank"">Positive Psychologie - Grübeln stoppen, Gelassenheit lernen und Positiv Denken: Wie Sie negative Gedanken in den Griff bekommen, Ängste stoppen und ... Selbstbewusstsein Ihr Leben in Freude leben</a></center> </p>","Positive Psychologie - Grübeln stoppen, Gelassenheit lernen und Positiv Denken: Wie Sie negative Gedanken in den Griff bekommen, Ängste stoppen und ... Selbstbewusstsein Ihr Leben in Freude leben",24,positive-psychologie-grbeln-stoppen-gelassenheit-lernen-und-positiv-denken-wie-sie-negative-gedanken-in-den-griff-bekommen-ngste-stoppen-und-selbstbewusstsein-ihr-leben-in-freude-lebe
2023-07-05 10:07:38.250576,"<p> <center><a href=""https://www.amazon.de/dp/3548065848?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51g0bSlvafL._SX319_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> Lieber jetzt als nie!Ab sofort gibt es keine Ausreden mehr, den Vermögensaufbau aufzuschieben. Denn nie war es so einfach wie heute, sein Geld gewinnbringend anzulegen. Das Buch von den Machern des er...","<p> <center><a href=""https://www.amazon.de/dp/3548065848?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51g0bSlvafL._SX319_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> Lieber jetzt als nie!Ab sofort gibt es keine Ausreden mehr, den Vermögensaufbau aufzuschieben. Denn nie war es so einfach wie heute, sein Geld gewinnbringend anzulegen. Das Buch von den Machern des erfolgreichen YouTube-Kanals „Finanzfluss“ holt dich ab und gibt dir Impulse, Verantwortung für deine eigene finanzielle Situation zu übernehmen und Begeisterung für die persönliche Vermögensbildung zu entfachen. Der ehemalige Investmentbanker Thomas Kehl und die Journalistin Mona Linke erklären, wie du mithilfe von Aktien und ETFs passiv ein Vermögen aufbauen kannst und wie das genau funktioniert.Ein Empowerment-Programm und Schnellkurs in Sachen Vermögensaufbau für alle – verständlich, motivierend und vor allem wirksam! ""Thomas Kehl und Finanzfluss sind ein Glücksfall für all jene unter uns, die ihre ""Finanzgesundheit"" in die eigenen Hände nehmen wollen. Fünf Sterne von mir für dieses Buch! ""- Dr. Gerd Kommer, Vermögensverwalter und Bestseller-Autor ""Dieses Buch nimmt dir die Angst vorm Investieren. Auch ich habe durch Finanzfluss gelernt, wie ich mein Geld langfristig und sicher anlegen kann.""- Diana zur Löwen, Influencerin und Unternehmerin <p><strong>   Print length      288 pages   <br>   Language      German   <br>   Publisher      Ullstein Taschenbuch   <br>   Publication date      11 Jan. 2022   <br>   Dimensions      11.9 x 2.7 x 18.5 cm   <br>   ISBN-10      3548065848   <br>   ISBN-13      978-3548065847   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3548065848?&tag=buch0ed-21"" target=""_blank"">Das einzige Buch, das Du über Finanzen lesen solltest: Der entspannte Weg zum Vermögen – Von den Machern des YouTube-Erfolgs »Finanzfluss« | Ratgeber für Geldanlage an der Börse mit ETF & Aktien</a></center> </p>","Das einzige Buch, das Du über Finanzen lesen solltest: Der entspannte Weg zum Vermögen – Von den Machern des YouTube-Erfolgs »Finanzfluss« | Ratgeber für Geldanlage an der Börse mit ETF & Aktien",24,das-einzige-buch-das-du-ber-finanzen-lesen-solltest-der-entspannte-weg-zum-vermgen-von-den-machern-des-youtubeerfolgs-finanzfluss-ratgeber-fr-geldanlage-an-der-brse-mit-etf-aktie
2023-07-05 10:07:42.657109,"<p> <center><a href=""https://www.amazon.de/dp/3430210968?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/415GNn2SXRL._SX327_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €16.99</p> Aktien ja, aber welche?Warum sollte man sich um sein Geld am besten selbst kümmern? Warum sind Aktien eine gute Idee, um die Rentenlücke zu schließen? Was sind irrationale Kurstreiber? Wie erkennt man...","<p> <center><a href=""https://www.amazon.de/dp/3430210968?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/415GNn2SXRL._SX327_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €16.99</p> Aktien ja, aber welche?Warum sollte man sich um sein Geld am besten selbst kümmern? Warum sind Aktien eine gute Idee, um die Rentenlücke zu schließen? Was sind irrationale Kurstreiber? Wie erkennt man Übertreibungen? Noah Leidinger und Florian Adomeit erklären die wichtigsten Basics für Anleger und hinterfragen die These, dass ETFs die sinnvollste Art der Vermögensbildung sind.Die beiden Köpfe hinter dem beliebten Podcast Ohne Aktien Wird Schwer zeigen an echten Beispielen (u. a. Coca-Cola, Netflix, Porsche, Zalando), welche unterschiedlichen Konzepte es bei Aktienanalysen gibt und was dabei jeweils zu beachten ist. So praxisnah, verständlich und gewinnbringend wie kein anderer Aktienratgeber. <p><strong>   Print length      336 pages   <br>   Language      German   <br>   Publisher      Econ   <br>   Publication date      29 Jun. 2023   <br>   Dimensions      13.6 x 2.75 x 20.5 cm   <br>   ISBN-10      3430210968   <br>   ISBN-13      978-3430210966   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3430210968?&tag=buch0ed-21"" target=""_blank"">Ohne Aktien Wird Schwer: Einzelaktien finden und verstehen in 25 Beispielen | Warum ETFs nicht immer die beste Lösung sind und wie Du die richtige Aktie findest</a></center> </p>",Ohne Aktien Wird Schwer: Einzelaktien finden und verstehen in 25 Beispielen | Warum ETFs nicht immer die beste Lösung sind und wie Du die richtige Aktie findest,24,ohne-aktien-wird-schwer-einzelaktien-finden-und-verstehen-in-25-beispielen-warum-etfs-nicht-immer-die-beste-lsung-sind-und-wie-du-die-richtige-aktie-findes
2023-07-05 10:07:47.216193,"<p> <center><a href=""https://www.amazon.de/dp/3959721714?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51WQdEQ42CS._SX327_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €0.00</p> Es ist an der Zeit, sich nicht mehr zu fragen, was Erfolg ausmacht – sondern es zu wissenÜber einen Zeitraum von mehr als 20 Jahren interviewte der blutjunge Napoleon Hill mehr als 500 Millionäre, unt...","<p> <center><a href=""https://www.amazon.de/dp/3959721714?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51WQdEQ42CS._SX327_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €0.00</p> Es ist an der Zeit, sich nicht mehr zu fragen, was Erfolg ausmacht – sondern es zu wissenÜber einen Zeitraum von mehr als 20 Jahren interviewte der blutjunge Napoleon Hill mehr als 500 Millionäre, unter ihnen die mächtigsten und einflussreichsten Persönlichkeiten seiner Zeit wie Thomas Edison, Alexander Graham Bell, Henry Ford, John D. Rockefeller oder Theodore Roosevelt. Die Essenz seiner Studien ist indieses Buch eingeflossen. Herausgekommen ist eine ebenso zeitlose wie überzeugende Anleitung für persönlichen Erfolg, in der Napoleon Hill zeigt, wie man in nur 13 Schritten sein Leben verändern kann – das womöglich wichtigste Finanzbuch, das jemals geschrieben wurde.Mit über 60 Millionen verkauften Exemplaren gehört Napoleon Hills Denke nach und werde reich zu den erfolgreichsten Büchern aller Zeiten. Nun ist erstmals die vollständige und ungekürzte Ausgabe von 1937 auf Deutsch erhältlich. <p><strong>   Print length      320 pages   <br>   Language      German   <br>   Publisher      FinanzBuch Verlag   <br>   Publication date      24 Aug. 2018   <br>   Dimensions      13.5 x 2.03 x 20.5 cm   <br>   ISBN-10      9783959721714   <br>   ISBN-13      978-3959721714   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3959721714?&tag=buch0ed-21"" target=""_blank"">Think and Grow Rich – Deutsche Ausgabe: Die ungekürzte und unveränderte Originalausgabe von Denke nach und werde reich von 1937</a></center> </p>",Think and Grow Rich – Deutsche Ausgabe: Die ungekürzte und unveränderte Originalausgabe von Denke nach und werde reich von 1937,24,think-and-grow-rich-deutsche-ausgabe-die-ungekrzte-und-unvernderte-originalausgabe-von-denke-nach-und-werde-reich-von-193
2023-07-05 10:07:52.272944,"<p> <center><a href=""https://www.amazon.de/dp/3548064590?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51aOMYq6OqL._SX319_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> »Ein ganz besonderer Erziehungsratgeber.« ZEITIn ihrem Bestseller erklärt Philippa Perry, worauf es zwischen Eltern und Kindern wirklich ankommt. Die erfahrene Psychotherapeutin verrät, wie wir schmer...","<p> <center><a href=""https://www.amazon.de/dp/3548064590?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51aOMYq6OqL._SX319_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> »Ein ganz besonderer Erziehungsratgeber.« ZEITIn ihrem Bestseller erklärt Philippa Perry, worauf es zwischen Eltern und Kindern wirklich ankommt. Die erfahrene Psychotherapeutin verrät, wie wir schmerzliche Erfahrungen aus der eigenen Kindheit nicht weitergeben, sondern heilen. Wenn wir uns bewusst machen, dass unsere eigene Erziehung auch das Verhältnis zu unseren Kindern beeinflusst, können wir aus Fehlern lernen – und sie wiedergutmachen. Wir erfahren, wie wir aus negativen Verhaltensmustern ausbrechen und mit impulsiven Gefühlen umgehen.»Philippa Perry hat ein sehr kluges, geradezu weises Buch geschrieben.« taz <p><strong>   Print length      320 pages   <br>   Language      German   <br>   Publisher      Ullstein Taschenbuch   <br>   Publication date      18 Oct. 2021   <br>   Dimensions      12 x 2.3 x 18.7 cm   <br>   ISBN-10      3548064590   <br>   ISBN-13      978-3548064598   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3548064590?&tag=buch0ed-21"" target=""_blank"">Das Buch, von dem du dir wünschst, deine Eltern hätten es gelesen: (und deine Kinder werden froh sein, wenn du es gelesen hast) | Erweiterte Ausgabe des Bestsellers mit einem exklusiven neuen Kapitel</a></center> </p>","Das Buch, von dem du dir wünschst, deine Eltern hätten es gelesen: (und deine Kinder werden froh sein, wenn du es gelesen hast) | Erweiterte Ausgabe des Bestsellers mit einem exklusiven neuen Kapitel",24,das-buch-von-dem-du-dir-wnschst-deine-eltern-htten-es-gelesen-und-deine-kinder-werden-froh-sein-wenn-du-es-gelesen-hast-erweiterte-ausgabe-des-bestsellers-mit-einem-exklusiven-neuen-kapit
