date,short_story,full_story,title,category,alt_name
2023-07-06 10:00:38.561834,"<p> <center><a href=""https://www.amazon.de/dp/B0BT1TZSLZ?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/81+FXAQRUJL._SY522_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €0.00</p> Auftakt der neuen RomantasytrilogieDie Menschen glauben, es gäbe keine Magie, und nur diese Überzeugung lässt sie gut schlafen.Seit der Ermordung ihrer Familie vor über zwölf Jahren lebt die zweiundzw...","<p> <center><a href=""https://www.amazon.de/dp/B0BT1TZSLZ?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/81+FXAQRUJL._SY522_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €0.00</p> Auftakt der neuen RomantasytrilogieDie Menschen glauben, es gäbe keine Magie, und nur diese Überzeugung lässt sie gut schlafen.Seit der Ermordung ihrer Familie vor über zwölf Jahren lebt die zweiundzwanzigjährige Wicca Valea Patel fernab ihrer Heimat Ardeal bei den Menschen. Nichts wünscht sie sich sehnlicher, als zurückzukehren und herauszufinden, was in der Nacht, in der ihr Leben brutal in Stücke gerissen wurde, vorgefallen ist. Doch erst als wieder eine Wicca ermordet wird, lässt ihr Großvater sie holen, denn Valea besitzt die seltene Gabe, Erinnerungen zu sehen - selbst die der Toten.Nach ihrer Ankunft findet sie sich jedoch in einem unentwirrbaren Geflecht aus Lügen, Intrigen und Verrat wieder. Denn in Ardeal tobt seit Jahrhunderten ein Krieg zwischen den Wicca, den Strigoi und der Hexenkönigin, der erst beendet sein wird, wenn zwei der drei Völker endgültig vernichtet sind.Düster, fantastisch, magisch und voller Geheimnisse. <p><strong>   Book 1 of 3      WiccaChroniken   <br>   Print length      507 pages   <br>   Language      German   <br>   Sticky notes      On Kindle Scribe   <br>   Publication date      28 Mar. 2023   <br>   File size      2836 KB   <br>   Page Flip      Enabled   <br>   Word Wise      Not Enabled   <br>   Enhanced typesetting      Enabled   </strong></p><p> <center><a href=""https://www.amazon.de/dp/B0BT1TZSLZ?&tag=buch0ed-21"" target=""_blank"">WiccaCreed : Zeichen & Omen: Mitreißende Romantasy - Der Auftaktband der neuen fantastischen Bestsellertrilogie (WiccaChroniken 1)</a></center> </p>",WiccaCreed : Zeichen & Omen: Mitreißende Romantasy - Der Auftaktband der neuen fantastischen Bestsellertrilogie (WiccaChroniken 1),14,wiccacreed-zeichen-omen-mitreiende-romantasy-der-auftaktband-der-neuen-fantastischen-bestsellertrilogie-wiccachroniken-
2023-07-06 10:00:43.784742,"<p> <center><a href=""https://www.amazon.de/dp/1473232279?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/8186-X9GUbL._SY522_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €33.99</p> Meet Geralt of Rivia - the Witcher - who holds the line against the monsters plaguing humanity in the bestselling series that inspired the Witcher video games and a major Netflix show.The Witcher's ma...","<p> <center><a href=""https://www.amazon.de/dp/1473232279?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/8186-X9GUbL._SY522_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €33.99</p> Meet Geralt of Rivia - the Witcher - who holds the line against the monsters plaguing humanity in the bestselling series that inspired the Witcher video games and a major Netflix show.The Witcher's magic powers and lifelong training have made him a brilliant fighter and a merciless assassin.Yet he is no ordinary killer: he hunts the vile fiends that ravage the land and attack the innocent.But not everything monstrous-looking is evil; not everything fair is good . . . and in every fairy tale there is a grain of truth.Translated by Danusia Stok and David French.Andrzej Sapkowski, winner of the World Fantasy Lifetime Achievement award, started an international phenomenon with his Witcher series. This boxed set contains all eight books: THE LAST WISH, SWORD OF DESTINY, BLOOD OF ELVES, TIME OF CONTEMPT, BAPTISM OF FIRE, THE TOWER OF THE SWALLOW, THE LADY OF THE LAKE, SEASON OF STORMS. <p><strong>   Print length      1 pages   <br>   Language      English   <br>   Publisher      Gollancz   <br>   Publication date      17 Sept. 2020   <br>   Dimensions      13.2 x 20.8 x 20.2 cm   <br>   ISBN-10      1473232279   <br>   ISBN-13      978-1473232273   </strong></p><p> <center><a href=""https://www.amazon.de/dp/1473232279?&tag=buch0ed-21"" target=""_blank"">The Witcher Boxed Set: The Last Wish, Sword of Destiny, Blood of Elves, Time of Contempt, Baptism of Fire, The Tower of The Swallow, The Lady of the Lake, Season of Storms</a></center> </p>","The Witcher Boxed Set: The Last Wish, Sword of Destiny, Blood of Elves, Time of Contempt, Baptism of Fire, The Tower of The Swallow, The Lady of the Lake, Season of Storms",14,the-witcher-boxed-set-the-last-wish-sword-of-destiny-blood-of-elves-time-of-contempt-baptism-of-fire-the-tower-of-the-swallow-the-lady-of-the-lake-season-of-storm
2023-07-06 10:00:47.715279,"<p> <center><a href=""https://www.amazon.de/dp/B0C7T3NXYP?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/617wqJiakhL._SY522_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €0.00</p> Eine Verschwörung ist im Entstehen. Werden die Schneepanther in der Lage sein, sie zu stoppen und die Täter zu finden?Ingrid, Viggo und Lasgol ziehen auf eine Rettungsmission, doch die eigentliche ein...","<p> <center><a href=""https://www.amazon.de/dp/B0C7T3NXYP?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/617wqJiakhL._SY522_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €0.00</p> Eine Verschwörung ist im Entstehen. Werden die Schneepanther in der Lage sein, sie zu stoppen und die Täter zu finden?Ingrid, Viggo und Lasgol ziehen auf eine Rettungsmission, doch die eigentliche einfache Aufgabe wird weitaus schwieriger als erwartet.Nilsa und Gerd reisen zum Waldläuferlager, um Egil zu helfen. Sie müssen sich auf ein neues Abenteuer einlassen, um die Wahrheit hinter den erschreckenden Ereignissen um sie herum herauszufinden.Die Schneepanther entdecken eine Verschwörung, der sie sich stellen müssen.Wird Astrid aus dem Reich der Türkiskönigin gerettet? Werden die Panther die Verschwörer entlarven? Können sie das Königreich schützen?Faszinierende Abenteuer mit einer Freundesgruppe, die beim Lesen schnell ans Herz wächst.Epische Fantasy voller Abenteuer, Action, Magie, Rätsel und etwas Romantik für alle Altersgruppen: Kinder, Jugendliche und Erwachsene.Lesespaß für die ganze Familie! <p><strong>   Reading age      11 - 18 years   <br>   Book 9 of 10      Der Weg des Waldläufers   <br>   Print length      469 pages   <br>   Language      German   <br>   Dimensions      15.24 x 2.69 x 22.86 cm   <br>   Publication date      13 Jun. 2023   <br>   ISBN-13      979-8398237146   </strong></p><p> <center><a href=""https://www.amazon.de/dp/B0C7T3NXYP?&tag=buch0ed-21"" target=""_blank"">Verschwörung im Norden: (Der Weg des Waldläufers, Buch 9)</a></center> </p>","Verschwörung im Norden: (Der Weg des Waldläufers, Buch 9)",14,verschwrung-im-norden-der-weg-des-waldlufers-buch-
2023-07-06 10:00:52.568279,"<p> <center><a href=""https://www.amazon.de/dp/B0C1KYY5ZM?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/817iFGdGIxL._SY522_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €0.00</p> Blut strömte über sein dreckiges Hemd, sorgte dafür, dass die alten Flecken überdeckt wurden. Das Ende der abgeschlagenen Flasche ragte aus seinem Hals, während sich sein Blick gegen die Decke richtet...","<p> <center><a href=""https://www.amazon.de/dp/B0C1KYY5ZM?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/817iFGdGIxL._SY522_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €0.00</p> Blut strömte über sein dreckiges Hemd, sorgte dafür, dass die alten Flecken überdeckt wurden. Das Ende der abgeschlagenen Flasche ragte aus seinem Hals, während sich sein Blick gegen die Decke richtete. Jetzt konnte er ihn sehen, den Niemandsengel …Was hat es auf sich mit der Liebe einer Mutter zu ihrem Sohn, dem beharrlichen Schweigen eines Geistlichen und der heimlichen Beziehung einer Polizistin? Hauptkommissar Stutter und seine Kollegin Oberkommissarin Nau werden zu einem mysteriösen Mord in Tübingen gerufen. Die Leiche der Barkeeperin Ronja Schneider wurde auf grausame Weise zur Schau gestellt, und sofort ist klar, dass der Täter damit eine Botschaft übermitteln will. Als die Autopsie ein gut gehütetes Geheimnis der Toten ans Licht bringt, wird der Fall plötzlich viel komplizierter als gedacht.Wenig später ereignet sich ein weiterer Mord in der lokalen Nachtklubszene, und die Zahl der Verdächtigen steigt. Zunächst ist kein Motiv zu erkennen. Geschehen die blutigen Taten aus Geldgier, reinem Hass oder Rache?Während die Aufklärung der schrecklichen Verbrechen voranschreitet, werden die Ermittler mit düsteren menschlichen Abgründen konfrontiert, die ihnen weitere Rätsel aufgeben und sie an ihre Grenzen bringen. Wird es den Beamten gelingen, die vielen losen Enden des Falls zu verbinden und den Niemandsengel zu entlarven?Lassen Sie sich von einem Psychothriller überraschen, der unerwartete Einblicke in die verletzte Seele eines Mörders bereithält!Weitere Titel der Autorin:(Alle Bücher können unabhängig voneinander gelesen werden.)»Sepsis - Zorneskind« (Psychothriller)»Verdacht - Die tote Stiefmutter« (Psychothriller)»Mortem - Blutiges Elbufer« (Psychothriller)»Der Duft der Opfer« (Psychothriller)»Mortem - Blutiger Traum« (Psychothriller)»Sepsis - Schlafendes Englein« (Psychothriller)»Sterbendes Herz« (Psychothriller)»Die im Regen weinen« (Psychothriller)»Der Todeseid« (Psychothriller)»Mein Zorn - Dein Schmerz« (Psychothriller)»Dem Tod verfallen« (Psychothriller)»Tödliche Heilige« (Psychothriller)»Mädchen ohne Wiederkehr« (Psychothriller)»Der Engelshenker« (Psychothriller)»Lebendfalle« (Psychothriller)»Schattenleid« (Psychothriller)»Der Schmerzjäger« (Psychothriller)»Blutschwarz« (Psychothriller)»Der Todesprinz« (Psychothriller)»Heimtückische Schuld« (Psychothriller)»Blutmosaik« (Psychothriller)»Der Sündenfänger« (Psychothriller)»Verdorbene Ernte« (Psychothriller)»Bitterblutige Wahrheit« (Kriminalroman)»Ufer der Angst« (Psychothriller)»Schmutzige Tränen« (Psychothriller)»Lautloser Hass« (Psychothriller)»Sepsis – Showblut« (Psychothriller)»Sepsis – Das Schandmaul« (Psychothriller)»Sepsis – Verkommenes Blut« (Psychothriller)»Blutiger Schein« (Thriller)»Projekt Todlicht« (Thriller)»Die Akte Aljona« (Thriller)»Operation Castus« (Thriller)»world: Reset – nach den Aschentagen« (Scifi-Krimi)»Mystery-Geschichten« (Shortstorys) und »Scifi- & Fantasy-Geschichten« (Shortstorys)»Das Geheimnis von Herculaneum« (Historischer Roman) <p><strong>   Part of series      Stutter und Nau ermitteln   <br>   Print length      294 pages   <br>   Language      German   <br>   Sticky notes      On Kindle Scribe   <br>   Publication date      4 April 2023   <br>   File size      2868 KB   <br>   Page Flip      Enabled   <br>   Word Wise      Not Enabled   <br>   Enhanced typesetting      Enabled   </strong></p><p> <center><a href=""https://www.amazon.de/dp/B0C1KYY5ZM?&tag=buch0ed-21"" target=""_blank"">Niemandsengel: Psychothriller (Stutter und Nau ermitteln)</a></center> </p>",Niemandsengel: Psychothriller (Stutter und Nau ermitteln),14,niemandsengel-psychothriller-stutter-und-nau-ermittel
2023-07-06 10:00:57.116422,"<p> <center><a href=""https://www.amazon.de/dp/3755501872?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/810epRUI3QL._SY522_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €5.99</p> Der zweite Teil der Chainsaw-Man-Saga steht ganz im Zeichen der... Bildung?! Ganz recht! Denn auch wenn Denji Tokyos Teufeln erfolgreich das Fürchten gelehrt hat, hat der rüpelige Teenager noch nie ei...","<p> <center><a href=""https://www.amazon.de/dp/3755501872?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/810epRUI3QL._SY522_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €5.99</p> Der zweite Teil der Chainsaw-Man-Saga steht ganz im Zeichen der... Bildung?! Ganz recht! Denn auch wenn Denji Tokyos Teufeln erfolgreich das Fürchten gelehrt hat, hat der rüpelige Teenager noch nie eine Schule von innen gesehen. Wer allerdings glaubt, dass im zweiten Teil von Chainsaw Man Grammatik und Algebra auf dem Stundenplan stehen, täuscht sich gewaltig! <p><strong>   Print length      192 pages   <br>   Language      German   <br>   Publisher      Egmont Manga   <br>   Publication date      8 May 2023   <br>   Reading age      16 years and up   <br>   Dimensions      12.4 x 1.5 x 18 cm   <br>   ISBN-10      3755501872   <br>   ISBN-13      978-3755501879   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3755501872?&tag=buch0ed-21"" target=""_blank"">Chainsaw Man 12</a></center> </p>",Chainsaw Man 12,14,chainsaw-man-1
2023-07-06 10:01:01.721206,"<p> <center><a href=""https://www.amazon.de/dp/B0BZWCMZXQ?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/91-FJ1+BR1L._SY522_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €0.00</p> NEUERSCHEINUNG!Nachts, wenn sich das Tor zur Hölle öffnet, nimmt sich die Sünderin ihre Opfer …Während eines Roadtrips mit ihren Freundinnen lernt Therese Roberts den geheimnisvollen William Marou ken...","<p> <center><a href=""https://www.amazon.de/dp/B0BZWCMZXQ?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/91-FJ1+BR1L._SY522_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €0.00</p> NEUERSCHEINUNG!Nachts, wenn sich das Tor zur Hölle öffnet, nimmt sich die Sünderin ihre Opfer …Während eines Roadtrips mit ihren Freundinnen lernt Therese Roberts den geheimnisvollen William Marou kennen. Beeindruckt von den Zeichnungen des jungen Künstlers, verliebt sie sich schnell in Will und zieht mit ihm in das Herrenhaus Abbeville Manor in der Küstenlandschaft Louisianas. Alles scheint perfekt, bis Will sich verändert und ihr außerdem den Zutritt zum Ostflügel und Keller des Hauses verbietet. Von ihrer Neugier gepackt, widersetzt sich Therese und findet Hinweise darauf, dass Abbeville Manor einst ein Kinderheim gewesen ist.Als Wills Verhalten immer sonderbarer wird, beginnt Therese, an seiner Aussage zu zweifeln, er habe das Haus vorher nicht gekannt. Sie entdeckt in seinen Sachen den Pass einer kürzlich hier ertrunkenen Frau und erfährt, dass Abbeville Manor unter der Heimleitung der Sünderin niemals ein guter Ort war – im Gegenteil.Während Therese nach Antworten sucht, beginnt ein Wettlauf gegen die Zeit, denn das Haus gehört jemandem, der keine Eindringlinge wünscht. Als Therese eine weitere Tote findet und begreift, was Will mit dem Haus zu tun hat, weiß sie, dass sie niemals hätte herkommen dürfen. Denn nachts öffnet sich in Abbeville Manor das Tor zur Hölle …+++ Dramatisch, spannend & skrupellos: Der neue Psychothriller DIE SÜNDERIN von Bestsellerautorin Rebekah Stoke! +++Weitere Psychothriller von Rebekah Stoke sind bei Amazon als eBook und Taschenbuch erhältlich:STILLES HEIM (Amazon eBooks Top 50)JÄGERSKIND (Amazon eBooks Top 150)DAS VERSTECK (Amazon eBooks Top 50)DIE KINDER - Sammelband DER JUNGE & DAS MÄDCHENDAS MÄDCHEN - DIE KINDER TEIL II (Amazon eBooks Top 100)DER JUNGE - DIE KINDER TEIL I (Amazon eBooks Top 50)DER SCHLECHTE (Amazon eBooks Top 300)DAS STÜCK (Amazon eBooks Top 250)DIE GEQUÄLTE (Amazon eBooks Top 100)DAS INSTRUMENT (Amazon eBooks Top 400)DAS INSEKT (Amazon eBooks Top 50) <p><strong>   Print length      340 pages   <br>   Language      German   <br>   Sticky notes      On Kindle Scribe   <br>   Publication date      9 April 2023   <br>   File size      1965 KB   <br>   Page Flip      Enabled   <br>   Word Wise      Not Enabled   <br>   Enhanced typesetting      Enabled   </strong></p><p> <center><a href=""https://www.amazon.de/dp/B0BZWCMZXQ?&tag=buch0ed-21"" target=""_blank"">Die Sünderin: Komm, kleines Mädchen ...</a></center> </p>","Die Sünderin: Komm, kleines Mädchen ...",14,die-snderin-komm-kleines-mdchen
2023-07-06 10:01:04.851016,"<p> <center><a href=""https://www.amazon.de/dp/B0C87KBCVT?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/71ycASBE2wL._SY522_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €13.90</p> Denn siehe, wer kommet über den Nachthimmel dahergeritten?Der allmächtige Superhero auf seinem Triceratops,Seine Muskeln wie Eisenmonde, sein Herz ein achteckiger Stern:Es ist die kosmische Kopfgeburt...","<p> <center><a href=""https://www.amazon.de/dp/B0C87KBCVT?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/71ycASBE2wL._SY522_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €13.90</p> Denn siehe, wer kommet über den Nachthimmel dahergeritten?Der allmächtige Superhero auf seinem Triceratops,Seine Muskeln wie Eisenmonde, sein Herz ein achteckiger Stern:Es ist die kosmische Kopfgeburt namens Amboss Oktagon!""Die Chroniken des Amboss Oktagon"" ist ein Heldenlied mit Sprechblasen, ein Comic ohne Bilder, ein Kinderbuch für Erwachsene. Also quasi die ""Ilias"" für die TikTok-Generation. Der ""Ulysses"" für Twitteruser. Die Mythologie eines Memes.Bekannt aus dem ""Ohne Sinn & Aber""-Podcast und von Schwartz' Twitteraccount (@schwartz_ht), ehrt dieses Buch den großen Amboss Oktagon, den Trutzfürst der trunkenen Trucker, Doppelgott der Dreiecksgalaxie und Dormagener Dolomiten und Hallenwart der halbvollen Haftpflichtversicherung. <p><strong>   Reading age      12 - 18 years   <br>   Print length      140 pages   <br>   Language      German   <br>   Dimensions      12.85 x 0.81 x 19.84 cm   <br>   Publication date      15 Jun. 2023   <br>   ISBN-13      979-8398102215   </strong></p><p> <center><a href=""https://www.amazon.de/dp/B0C87KBCVT?&tag=buch0ed-21"" target=""_blank"">Die Chroniken des Amboss Oktagon</a></center> </p>",Die Chroniken des Amboss Oktagon,14,die-chroniken-des-amboss-oktago
2023-07-06 10:01:08.481753,"<p> <center><a href=""https://www.amazon.de/dp/3939722820?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/61-1JjNa-YL.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €7.49</p> Die Texte der Edda sind die Vorlage fast aller überlieferten germanischen Göttersagen. Ohne die Schriften der Prosa- und Lieder-Edda, die sich in diesem Band veröffentlicht finden, wüssten wir nahezu ...","<p> <center><a href=""https://www.amazon.de/dp/3939722820?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/61-1JjNa-YL.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €7.49</p> Die Texte der Edda sind die Vorlage fast aller überlieferten germanischen Göttersagen. Ohne die Schriften der Prosa- und Lieder-Edda, die sich in diesem Band veröffentlicht finden, wüssten wir nahezu nichts über die Götterwelt der Germanen, über Odin und Thor, Loki und den von ihm ermordeten Sonnengott Baldur, über Fenrirwolf und Midgardschlange. Wir wüssten nichts über die Götterburg Asgard oder das düstere Totenreich der Hel, nichts von Abenteuern und Kämpfen zwischen Asen und Riesen, nichts von Ragnarök, der GötterdämmerungDie Götterwelt der Germanen Seit jeher dient die Edda als Inspirationsquelle für künstlerische Werke aller Art, und auch heute noch verdanken sich ihr zahlreiche Romane, Filme und Serien. Durch die Handschriften der Edda wissen wir erst von der Götterwelt der Germanen, von Odin und Thor, von Loki und dem Sonnengott Baldur, von der Götterburg Asgard und dem düsteren Totenreich der Hel, von den Kämpfen zwischen Asen und Riesen, und von Ragnarök, der Götterdämmerung.Ein leichter Zugang zur germanischen Mythologie Der Herausgeber Walter Hansen macht es möglich, dass die Ursprungstexte der Göttersagen auch für den Leser ohne mythologische Vorkenntnisse gut zu verstehen sind. So sind die Erzählungen und Dichtungen der Edda in diesem Buch ergänzt um kenntnisreiche Einleitungen und hilfreiche Marginalspalten, in denen Begriffe, Metaphern und Namen erklärt und Hintergründe beleuchtet werden.Prosa-Edda und Lieder-Edda in einem Band Diese Ausgabe vereint die Texte der Prosa-Edda und Lieder-Edda in einem Band und stützt sich auf die Originaltexte der Übertragung durch den Germanisten und Dichter Karl Simrock aus dem 19. Jahrhundert. Die besondere Stärke dieser ersten und bis heute hochgeschätzten Übersetzung liegt darin, dass sie uns die Bildhaftigkeit der Dichtung und die sprachliche Rhythmik des altisländischen Ursprungstextes in unserer Sprache erleben lässt.Reichhaltiges Bildmaterial Zahlreiche farbige Abbildungen auf 16 Bildtafeln und eine Vielzahl von Schwarz-Weiß-Abbildungen im Text geben den Erzählungen der Edda zusätzlich Gestalt. Alte Handschriften, frühe Illustrationen und Gemälde aus unterschiedlichen Epochen vermitteln einen Eindruck davon, wie man sich die Akteure und Schauplätze der germanischen Mythologie zu verschiedenen Zeitpunkten in der Geschichte vorgestellt hat. Die hier veröffentlichten Texte stützen sich auf die Originaltexte der Simrockschen Übersetzung. Ausführlich und vom Herausgeber Walter Hansen in Fußnoten gekennzeichnet, werden dem Leser Begriffe vielerorts direkt erklärt und Handlungen verständlich gemacht. <p><strong>   Print length      160 pages   <br>   Language      German   <br>   Publisher      Regionalia Verlag   <br>   Publication date      1 April 2023   <br>   Dimensions      16.9 x 2.2 x 20.5 cm   <br>   ISBN-10      3939722820   <br>   ISBN-13      978-3939722823   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3939722820?&tag=buch0ed-21"" target=""_blank"">Die Edda: Die germanischen Göttersagen</a></center> </p>",Die Edda: Die germanischen Göttersagen,14,die-edda-die-germanischen-gttersage
2023-07-06 10:01:12.549471,"<p> <center><a href=""https://www.amazon.de/dp/349800350X?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/71OPpMWKE1L._SY522_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €17.99</p> Die Welt von Heinz Strunk ist der unseren in vielem ähnlich. In “Der gelbe Elefant” schreibt er vom Alltäglichen, wo Überraschung, Wunder, Grauen lauert. Die Geschichten in diesem Buch erzählen von ei...","<p> <center><a href=""https://www.amazon.de/dp/349800350X?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/71OPpMWKE1L._SY522_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €17.99</p> Die Welt von Heinz Strunk ist der unseren in vielem ähnlich. In “Der gelbe Elefant” schreibt er vom Alltäglichen, wo Überraschung, Wunder, Grauen lauert. Die Geschichten in diesem Buch erzählen von einer Seniorenorganisation namens «Freiwillig über die Klippe» und von einem Autoausflug in die Prähistorie. Ein Experte erlebt in der Sendung von Markus Lanz eine Katastrophe, ein Bauer in der Großstadt und ein Tourist bei der Thai-Massage am Strand. Manche der Texte klingen wie Zeitungsreportagen, manche wie Schauergeschichten, manche sind in Briefform, eine hat gar Bulletpoints. Aber immer sind sie originell, komisch, drastisch und unverwechselbar Heinz Strunk. «Der momentan anregendste Erzähler der deutschen Gegenwartsliteratur.» Spiegel Online <p><strong>   Print length      208 pages   <br>   Language      German   <br>   Publisher      Rowohlt Buchverlag   <br>   Publication date      13 Jun. 2023   <br>   Dimensions      13.1 x 2.02 x 20.9 cm   <br>   ISBN-10      349800350X   <br>   ISBN-13      978-3498003500   </strong></p><p> <center><a href=""https://www.amazon.de/dp/349800350X?&tag=buch0ed-21"" target=""_blank"">Der gelbe Elefant: ""Die neuen Texte des Bestsellerautors sind der Hit."" Hamburger Abendblatt</a></center> </p>","Der gelbe Elefant: ""Die neuen Texte des Bestsellerautors sind der Hit."" Hamburger Abendblatt",14,der-gelbe-elefant-die-neuen-texte-des-bestsellerautors-sind-der-hit-hamburger-abendblat
2023-07-06 10:01:17.268057,"<p> <center><a href=""https://www.amazon.de/dp/B0C7HGXMPF?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/91gzctmN7iL._SY522_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €0.00</p> Der neue Thriller von Bestsellerautor Andrew Holland»Wenn Rache die einzige Möglichkeit ist, Frieden mit deinen inneren Dämonen zu schließen …«Sie lebt in einem Käfig, wie ein Vogel, der sich damit zu...","<p> <center><a href=""https://www.amazon.de/dp/B0C7HGXMPF?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/91gzctmN7iL._SY522_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €0.00</p> Der neue Thriller von Bestsellerautor Andrew Holland»Wenn Rache die einzige Möglichkeit ist, Frieden mit deinen inneren Dämonen zu schließen …«Sie lebt in einem Käfig, wie ein Vogel, der sich damit zufriedengibt, jeden Tag auf einer Stange zu sitzen, zu fressen und zu trinken und aus dem Fenster zu schauen.... und irgendwann fliegt sie mit den anderen Vögeln in die Freiheit ...Der Feierabend eines gewöhnlichen Arbeitstages endet für die junge Carry Davis in einem Albtraum. Auf dem Weg zu einer Verabredung wird sie in ihrem Auto von einem Psychopathen unter Drogen gesetzt und muss wehrlos ihrem eigenen Tod ins Gesicht sehen. Jemand zwingt sie ihr Fahrzeug vom obersten Parkdeck eines Einkaufszentrums zu steuern.Als FBI-Agent Howard Caspar mit seinem Team die Ermittlungen aufnimmt, stößt er auf weitere Morde, bei denen eine klare Verbindung zu erkennen ist.Bis sie eine Spur finden, die zum Täter führt, ist jemand aus den eigenen Reihen in größter Gefahr. Eine Person, mit dem der Killer noch eine offene Rechnung zu begleichen hat.Wer wird am Ende die Oberhand behalten? Der Mörder oder das FBI?Dieser Thriller kann ohne Vorkenntnis zur Reihe gelesen werden.Die Howard-Caspar-Reihe erfreut sich großer Beliebtheit und hat bei ihren Lesern bereits Kultstatus erreicht.Leserstimmen zu den Büchern von Andrew Holland:»Gut durchdachte Handlung, fesselnd und spannend bis zum Schluss.«»Nervenaufreibend!«»So muss ein Thriller sein!«»Unglaublich spannend. Man kann nicht anders, als die Bücher von Andrew Holland in einem Rutsch durchzulesen.« <p><strong>   Book 13 of 13      Howard Caspar Reihe   <br>   Print length      336 pages   <br>   Language      German   <br>   Sticky notes      On Kindle Scribe   <br>   Publication date      22 Jun. 2023   <br>   File size      5630 KB   <br>   Page Flip      Enabled   <br>   Word Wise      Not Enabled   <br>   Enhanced typesetting      Enabled   </strong></p><p> <center><a href=""https://www.amazon.de/dp/B0C7HGXMPF?&tag=buch0ed-21"" target=""_blank"">Ruf der Leere : Thriller (Howard Caspar Reihe 13)</a></center> </p>",Ruf der Leere : Thriller (Howard Caspar Reihe 13),14,ruf-der-leere-thriller-howard-caspar-reihe-1
