date,short_story,full_story,title,category,alt_name
2023-07-05 22:04:54.798110,"<p> <center><a href=""https://www.amazon.de/dp/B07KM2RLXH?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51PJgTGBPPL._SX324_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €3.38</p> Tolles Reise-Tagebuch zum VerschenkenEine Freundin, Ihr Bruder oder eine Kollegin gehen gern und viel auf Reisen? Schenken Sie Ihren Lieben mit dem Reise-Tagebuch eine schöne Aufmerksamkeit. Ob langer...","<p> <center><a href=""https://www.amazon.de/dp/B07KM2RLXH?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51PJgTGBPPL._SX324_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €3.38</p> Tolles Reise-Tagebuch zum VerschenkenEine Freundin, Ihr Bruder oder eine Kollegin gehen gern und viel auf Reisen? Schenken Sie Ihren Lieben mit dem Reise-Tagebuch eine schöne Aufmerksamkeit. Ob langer Urlaub oder kurze Trips, das Travelbook ist der perfekte Begleiter für jedes Abenteuer und passt bequem in jedes Gepäck. Nach und nach wächst ein persönliches Erinnerungsstück an einen längeren Urlaub oder an mehrere kurze Urlaube und an alle besonderen Erlebnisse.Praktisches Tagebuch für unterwegsDas Reise-Tagebuch überzeugt in moderner Landkarten-Optik, mit Checklisten zur Reisevorbereitung und viel Platz zum Einkleben von Erinnerungsstücken. Vorformulierte Fragen erleichtern dabei das Eintragen.96-seitiges geführtes Tagebuch im handlichen Format (12,5 x 17,8 cm)Angesagte Gestaltung in Landkarten-Optik mit Visa-Stempeln aus aller WeltPlatz zum Aufschreiben der täglichen Erlebnisse einer bis zu 21-tägigen ReiseSonderseiten mit Platz für Reisevorbereitungen, Geheimtipps und AdressenDank flexiblem Cover mit abgerundeten Ecken ist das Tagebuch ideal für unterwegsRobuste Einstecktasche zum Sammeln von Andenken, wie z.B. TicketsFarblich passendes Gummiband zum Verschließen, sodass das Buch in der Tasche nicht aufgehen kannPraktisches Lesebändchen zum schnellen Wiederfinden bestimmter SeitenHochwertiges Naturpapier, das sich gut beschreiben lässtDas Papier ist der Umwelt zuliebe FSC-zertifiziert <p><strong>   Print length      96 pages   <br>   Language      German   <br>   Publisher      Groh   <br>   Publication date      28 May 2019   <br>   Dimensions      12.5 x 1.1 x 17.7 cm   </strong></p><p> <center><a href=""https://www.amazon.de/dp/B07KM2RLXH?&tag=buch0ed-21"" target=""_blank"">Reisetagebuch (Landkarte) (Geschenke für alle, die gerne reisen und die Welt entdecken)</a></center> </p>","Reisetagebuch (Landkarte) (Geschenke für alle, die gerne reisen und die Welt entdecken)",21,reisetagebuch-landkarte-geschenke-fr-alle-die-gerne-reisen-und-die-welt-entdecke
2023-07-05 22:04:58.534473,"<p> <center><a href=""https://www.amazon.de/dp/3982083494?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51CYqyYkA7L._SY456_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €37.12</p> Landvergnügen 2023 - der andere Stellplatzführer. Genießen Sie das Landleben mit Reisemobil, Campingbus und Wohnwagen. An die 1.400 ländliche Gastgeberinnen und Gastgeber aus ganz Deutschland freuen s...","<p> <center><a href=""https://www.amazon.de/dp/3982083494?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51CYqyYkA7L._SY456_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €37.12</p> Landvergnügen 2023 - der andere Stellplatzführer. Genießen Sie das Landleben mit Reisemobil, Campingbus und Wohnwagen. An die 1.400 ländliche Gastgeberinnen und Gastgeber aus ganz Deutschland freuen sich auf Ihren Besuch. Sie erhalten zusätzlich mit dem Buch eine Jahresvignette, die Sie berechtigt, eine Nacht gebührenfrei bei den gastgebenden Betrieben zu verweilen. Der Aufenthalt ist auf 24 Std. bzw. eine Nacht beschränkt. Neu in 2023  – Jubiläumsausgabe, 10 Jahre Landvergnügen  – Viele neue Höfe  – Noch mehr Genuss ab Hof Landvergnügen ist ein Reise- und Genussführer für Campingfreunde. Genießen Sie regionale Speziali­täten und finden Sie echte Geheimtipps auf dem Land. Seien Sie zu Gast auf Brauereien, ­Imkereien, Käsereien und Weingütern. Übernachten Sie direkt neben ­Alpakas, Wasserbüffeln, Schottischen Hochland-Rindern, Thüringer Waldziegen oder Lachsforellen.  * Für Reisemobil, Wohnwagen und Campingbus  * inkl. Jahresvignette 2023 (31.03.2023 - 31.03.2024) * Die Jahresvignette und Mitgliedschaft sind personen- und fahrzeuggebunden und nicht übertragbar. * Auf den schönsten Höfen Deutschlands kostenlos übernachten * Landleben, Ruhe, Natur & regionale Spezialitäten genießen * Über ~1.400 Gastgeberinnen und Gastgeber in ganz Deutschland heißen Sie willkommen * mit digitaler Ergänzung in Form der Landvergnügen App Landvergnügen ist Teil des europaweiten Campingverbandes FEFI. <p><strong>   Print length      600 pages   <br>   Language      German   <br>   Publisher      Landvergnügen   <br>   Publication date      20 Mar. 2023   <br>   Dimensions      15.6 x 3.5 x 21.4 cm   <br>   ISBN-10      3982083494   <br>   ISBN-13      978-3982083490   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3982083494?&tag=buch0ed-21"" target=""_blank"">Landvergnügen Deutschland: Der andere Stellplatzführer Saison 2023</a></center> </p>",Landvergnügen Deutschland: Der andere Stellplatzführer Saison 2023,21,landvergngen-deutschland-der-andere-stellplatzfhrer-saison-202
2023-07-05 22:05:15.813687,"<p> <center><a href=""https://www.amazon.de/dp/3870143452?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/61lEufJJN1L._SX698_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €39.90</p> Das ideale Weihnachtsgeschenk für Golfer Auf 1.076 Seiten bietet Ihnen die ""Bibel der Golfer"" die wichtigsten Informationen zu 725 bespielbaren Golfplätzen ab 9-Loch in Deutschland. Neben den Golfplat...","<p> <center><a href=""https://www.amazon.de/dp/3870143452?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/61lEufJJN1L._SX698_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €39.90</p> Das ideale Weihnachtsgeschenk für Golfer Auf 1.076 Seiten bietet Ihnen die ""Bibel der Golfer"" die wichtigsten Informationen zu 725 bespielbaren Golfplätzen ab 9-Loch in Deutschland. Neben den Golfplatz-Details finden Sie hier die Ansprechpartner in den Clubs, Spielbedingungen für Gäste, Pro-Shop Adressen, Angaben zu Greenfees und Platzbeschaffenheit sowie auch Anfahrtsbeschreibungen in Kombination mit detailliertem Kartenmaterial und Hoteltipps. Mit den 1.120 Greenfee-Gutscheinen im Golfführer (gültig bis 30. Juni 2024) profitieren Sie darüber hinauMit den 1.120 Greenfee-Gutscheinen im Golfführer (gültig bis 30. Juni 2024) profitieren Sie darüber hinaus von exklusiven Greenfee-Vorteilen und Vergünstigungen im Wert von über 43.200 Euro. Ein Großteil der Golf Clubs gewährt besonders günstige ""2-for-1"" Gutscheine, d. h. Sie können zu zweit spielen, zahlen aber nur ein Greenfee. Aber auch für Einzelspieler sind eine Menge Gutscheine mit prozentualen Nachlässen enthalten. <p><strong>   Print length      1076 pages   <br>   Language      German   <br>   Publisher      Albrecht Golf Verlag   <br>   Publication date      1 Dec. 2022   <br>   Dimensions      16.4 x 5.5 x 23.2 cm   <br>   ISBN-10      3870143452   <br>   ISBN-13      978-3870143459   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3870143452?&tag=buch0ed-21"" target=""_blank"">Albrecht Golf Führer Deutschland 23/24 inklusive Gutscheinbuch</a></center> </p>",Albrecht Golf Führer Deutschland 23/24 inklusive Gutscheinbuch,21,albrecht-golf-fhrer-deutschland-2324-inklusive-gutscheinbuc
2023-07-05 22:05:31.645480,"<p> <center><a href=""https://www.amazon.de/dp/3442492750?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51Tqk53w5hL._SX332_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €11.99</p> Sieben Sterne umfasst das Sternbild der Plejaden, und die Schwestern d’Aplièse tragen ihre Namen. Stets war ihre siebte Schwester aber ein Rätsel für sie, denn Merope ist verschwunden, seit sie denken...","<p> <center><a href=""https://www.amazon.de/dp/3442492750?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51Tqk53w5hL._SX332_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €11.99</p> Sieben Sterne umfasst das Sternbild der Plejaden, und die Schwestern d’Aplièse tragen ihre Namen. Stets war ihre siebte Schwester aber ein Rätsel für sie, denn Merope ist verschwunden, seit sie denken können. Eines Tages überbringt der Anwalt der Familie die verblüffende Nachricht, dass er eine Spur entdeckt hat: Ein Weingut in Neuseeland und die Zeichnung eines sternförmigen Rings weisen den Weg. Allerdings kann nur eine Frau, Mary, Antworten geben – und sie ist auf einer Reise um die Welt. Es beginnt eine Jagd quer über den Globus, doch es scheint, als wolle Mary um jeden Preis verhindern, gefunden zu werden... <p><strong>   Book 7 of 8      Die sieben Schwestern   <br>   Print length      832 pages   <br>   Language      German   <br>   Publisher      Goldmann Verlag   <br>   Publication date      23 Mar. 2022   <br>   Dimensions      12.6 x 4.6 x 18.8 cm   <br>   ISBN-10      3442492750   <br>   ISBN-13      978-3442492756   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3442492750?&tag=buch0ed-21"" target=""_blank"">Die verschwundene Schwester: Roman (Die sieben Schwestern, Band 7)</a></center> </p>","Die verschwundene Schwester: Roman (Die sieben Schwestern, Band 7)",21,die-verschwundene-schwester-roman-die-sieben-schwestern-band-
2023-07-05 22:05:37.051004,"<p> <center><a href=""https://www.amazon.de/dp/3829719442?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51rqygSaGaL._SX282_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> Sonne, Sand und Mittelmeer: Mit dem MARCO POLO Reiseführer Mallorca entdecken Zikadenzirpen im Ohr, Kiefernduft in der Nase und in einer tu¨rkisblauen Bucht mit weißem Sand die Sonne auf der Haut: Mal...","<p> <center><a href=""https://www.amazon.de/dp/3829719442?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51rqygSaGaL._SX282_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> Sonne, Sand und Mittelmeer: Mit dem MARCO POLO Reiseführer Mallorca entdecken Zikadenzirpen im Ohr, Kiefernduft in der Nase und in einer tu¨rkisblauen Bucht mit weißem Sand die Sonne auf der Haut: Mallorca erfüllt alle Wünsche an einen Traumurlaub. Lass dein All-inclusive-Hotel hinter dir, mach dich zu Fuß, mit dem Rad, Mietwagen oder per Bus auf und erlebe mehr, als in einen Urlaub passt!Malle mal anders: Mit den Insider-Tipps der Einheimischen erlebst du unvergessliche Momente abseits der touristischen HotspotsSmarter reisen mit der kostenlosen MARCO POLO Touren-App und Highlight-Karten zur schnellen OrientierungDamit nichts die Urlaubsstimmung trübt: Best-of-Tipps für schlechtes Wetter, Urlaub mit Kindern oder kleinem BudgetInselmenüs zum Niederknien: Mit den MARCO POLO Restaurant-Tipps schmeckt es immer!Ruckzuck in Urlaubslaune: Music-Playlists, Blogs und Buch-Tipps wecken dein InselfieberErlebe mit MARCO POLO einen Urlaub voller unvergesslicher MomenteErkunde die historischen Gassen von Pollenca und Alcúdia, probiere Feigenbier auf der Finca Son Mut Nou und erhasche Ausblicke auf Delfinflossen im Sonnenuntergang. Besteige die Tausender der wilden Tramuntana und fühle den Nervenkitzel beim Blick in abgrundtiefe Schluchten. Oder entdecke die romantischen Dörfer abseits der Touristen-Hotspots und lerne die Mallorquiner kennen, wenn sie in der kühlen Abendluft ihre Stühle vor die Tür stellen und die Straße zu ihrem Wohnzimmer machen.Ob Aktivurlaub auf dem Surfbrett oder Entspannung pur am Badestrand: Stell dir mit dem MARCO POLO Reiseführer Mallorca ganz einfach die Reise zusammen, die du dir wünschst! <p><strong>   Part of series      MARCO POLO Reiseführer E-Book   <br>   Print length      168 pages   <br>   Language      German   <br>   Publisher      MAIRDUMONT   <br>   Publication date      22 Feb. 2023   <br>   Dimensions      10.8 x 1.5 x 19 cm   <br>   ISBN-10      3829719442   <br>   ISBN-13      978-3829719445   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3829719442?&tag=buch0ed-21"" target=""_blank"">MARCO POLO Reiseführer Mallorca: Reisen mit Insider-Tipps. Inklusive kostenloser Touren-App</a></center> </p>",MARCO POLO Reiseführer Mallorca: Reisen mit Insider-Tipps. Inklusive kostenloser Touren-App,21,marco-polo-reisefhrer-mallorca-reisen-mit-insidertipps-inklusive-kostenloser-tourenap
2023-07-05 22:05:42.336740,"<p> <center><a href=""https://www.amazon.de/dp/3257072228?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/315pVGCmCTL._SX314_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €34.99</p> 1941 in Aspen, Colorado. Die 18-jährige Rachel tritt bei den Skimeisterschaften an. Eine Medaille gibt es nicht, dafür ist sie schwanger, als sie in ihre Heimat New Hampshire zurückkehrt. Ihr Sohn Ada...","<p> <center><a href=""https://www.amazon.de/dp/3257072228?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/315pVGCmCTL._SX314_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €34.99</p> 1941 in Aspen, Colorado. Die 18-jährige Rachel tritt bei den Skimeisterschaften an. Eine Medaille gibt es nicht, dafür ist sie schwanger, als sie in ihre Heimat New Hampshire zurückkehrt. Ihr Sohn Adam wächst in einer unkonventionellen Familie auf, die allen Fragen über die bewegte Vergangenheit ausweicht. Jahre später macht er sich deshalb auf die Suche nach Antworten in Aspen. Im Hotel Jerome, in dem er gezeugt wurde, trifft Adam auf einige Geister. Doch werden sie weder die ersten noch die letzten sein, die er sieht. <p><strong>   Print length      1088 pages   <br>   Language      German   <br>   Publisher      Diogenes   <br>   Publication date      26 April 2023   <br>   Dimensions      11.9 x 5.7 x 18.6 cm   <br>   ISBN-10      3257072228   <br>   ISBN-13      978-3257072228   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3257072228?&tag=buch0ed-21"" target=""_blank"">Der letzte Sessellift</a></center> </p>",Der letzte Sessellift,21,der-letzte-sessellif
2023-07-05 22:05:46.521935,"<p> <center><a href=""https://www.amazon.de/dp/3982365708?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41OT6whl5qL._SX326_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.95</p> Achtung, jetzt kommt der Ruhestand!Ein letztes Mal die Arbeitstasche packen, sich früh morgens auf den Weg machen, die Stechkarte zücken und den Rechner hochfahren. So oft haben Sie sich ausgemalt, wi...","<p> <center><a href=""https://www.amazon.de/dp/3982365708?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41OT6whl5qL._SX326_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.95</p> Achtung, jetzt kommt der Ruhestand!Ein letztes Mal die Arbeitstasche packen, sich früh morgens auf den Weg machen, die Stechkarte zücken und den Rechner hochfahren. So oft haben Sie sich ausgemalt, wie sie ihren Arbeitsplatz hinter sich lassen und sich abends entspannen können ohne an die Arbeit von morgen zu denken.Und jetzt, wo es soweit ist, schleicht sich nach dem Hoch der Gefühle doch ein etwas mulmiges Gefühl ein. „Wie geht es weiter? Was soll ich die nächsten Jahre machen?“, fragen Sie sich vielleicht. Nicht selten macht sich Angst vor dem dunklen Loch der Langeweile und Sinnlosigkeit im Ruhestand breit.Dieser Ratgeber soll Ihnen den Einstieg in den Ruhestand erleichtern. Er enthält 365 Ideen, die von sozialem Engagement über Ahnenforschung und Hauswechsel bis hin zu reisepraktischen Beispielen reichen. Ziel des Buches ist es, Sie zu inspirieren, neue Dinge auszuprobieren und unvergessliche Erinnerungen zu schaffen.Achtung, der Übergang ist kein Zuckerschlecken!In ihrem Artikel „Übergang in und Anpassung an den Ruhestand“ stellt A. Schmidt folgende Schwierigkeiten beim Übergang in den Ruhestand fest:Menschen möchten weiter aktiv sein: Insbesondere, wenn Sie berufstätig sind, kann sich der Übergang schwierig gestalten. Viele angehende Pensionäre fühlen sich ohne die durch die Arbeit bestimmte Tagesstruktur unsicher und möchten Ihre Zeit sinnvoll gestalten. Schlechte psychologische Vorbereitung: Es gibt viele Programme, Trainings und Hilfen, die finanziell auf den Ruhestand vorbereiten. Individuelle Stärken und persönliche Ziele für die Zeit im Ruhestand liegen in der Priorität hintenan und werden oft nur spärlich behandelt. Der „Plan B“ fehlt: Oftmals können angestrebte Ziele nicht erreicht werden. Die Gesundheit, finanzielle und andere Faktoren können Ihre Pläne durchkreuzen. Es ist wichtig, hier Alternativen zu haben und sich manchmal von seinen Plänen für den Ruhestand zu lösen.„Insgesamt gibt es in Bezug auf den Übergang und die erfolgreiche Anpassung an den Ruhestand an der Schnittstelle zwischen Theorie und Praxis großen Handlungsbedarf.“ – A. Schmidt„Meine größte Angst war es, plötzlich ohne Aufgabe, ohne Struktur dazustehen“ – ManfredDas Buch ist ideal für alle, die nach der Pensionierung ein neues Leben beginnen wollen (oder es bereits getan haben), aber nicht wissen, wie es weitergeht. Es enthält 365 inspirierende Ideen, bei denen Sie unabhängig von Ihrer Gesundheit, der familiären Situation oder den finanziellen Möglichkeiten etwas für sich finden können.Tolle Ideen für eine unvergessliche Zeit nach dem ArbeitslebenAchtung Ruhestand! Nichts für Langweiler: Denken Sie daran, wie oft sie sich gesagt haben: „Das mache ich einmal, wenn ich im Ruhestand bin.“ Diese Zeit ist jetzt. Für Sie beginnt ein neuer Lebensabschnitt, in dem Sie ihrem Tatendrang nicht mehr einschränken müssen. Ergreifen Sie die Initiative: Ob Sie lernen, sich mit anderen zu verbinden, Hobbys zu finden, die Ihnen Spaß machen, Ausflüge zu planen, die Ihren Interessen oder Ihrem Budget entsprechen, Wege zu finden, sich zu entspannen, oder sich einfach wieder jung zu fühlen - dieser Leitfaden bietet für jeden etwas, der seiner Zeit mehr Leben bringen möchte. Unvergessliche Erinnerungen: Manche Vorschläge lassen sich sofort verwirklichen und in den Alltag integrieren, andere benötigen Vorbereitung. Alle Punkte lassen sich jedoch verwirklichen und vielleicht erhalten Sie durch unsere Ideen noch viel mehr Inspiration zu anderen tollen Unternehmungen.Holen Sie nach, was Sie früher auf später verschoben haben. Mit nur einem Klick auf „Jetzt kaufen“ erhalten Sie 365 Tipps und Vorschläge mit Unternehmungen, die Sie im Ruhestand angehen oder zum Renteneintritt verschenken können. <p><strong>   Reading age       18+ years, from customers     <br>   Print length      173 pages   <br>   Language      German   <br>   Dimensions      13.34 x 1.12 x 20.32 cm   <br>   Publication date      23 Aug. 2021   <br>   ISBN-10      3982365708   <br>   ISBN-13      978-3982365701   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3982365708?&tag=buch0ed-21"" target=""_blank"">Ruhestand für Anfänger - 365 inspirierende Ideen für das erste Jahr der Rente</a></center> </p>",Ruhestand für Anfänger - 365 inspirierende Ideen für das erste Jahr der Rente,21,ruhestand-fr-anfnger-365-inspirierende-ideen-fr-das-erste-jahr-der-rent
2023-07-05 22:05:51.353175,"<p> <center><a href=""https://www.amazon.de/dp/3423218533?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51yooHOaqyL._SX317_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> Josi träumt seit ihrer Kindheit davon, mit einem alten Bulli Europas Küsten zu erkunden. Paul hingegen entscheidet sich spontan für einen Road Trip, um seinem festgefahrenen Alltag zu entfliehen. Beid...","<p> <center><a href=""https://www.amazon.de/dp/3423218533?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51yooHOaqyL._SX317_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> Josi träumt seit ihrer Kindheit davon, mit einem alten Bulli Europas Küsten zu erkunden. Paul hingegen entscheidet sich spontan für einen Road Trip, um seinem festgefahrenen Alltag zu entfliehen. Beide sehnen sich nach grenzenloser Freiheit und unvergesslichen Erlebnissen. Ihre Wege kreuzen sich. Erst zufällig, dann absichtlich und immer öfter. Auf ihren Routen hinterlassen sie sich gegenseitig kleine Botschaften und lernen dabei nicht nur einander, sondern auch sich selbst besser kennen.Ein ganzes Jahr lang Sommer mit einsamen Stränden, versteckten Buchten und malerischen Orten. Und eine unerwartete Freundschaft, die vielleicht noch so viel mehr sein kann? <p><strong>   Print length      416 pages   <br>   Language      German   <br>   Publisher      dtv Verlagsgesellschaft mbH & Co. KG   <br>   Publication date      16 Mar. 2023   <br>   Dimensions      12.2 x 3.6 x 18.8 cm   <br>   ISBN-10      3423218533   <br>   ISBN-13      978-3423218535   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3423218533?&tag=buch0ed-21"" target=""_blank"">Immer am Meer entlang: Roman | Ein mitreißender Sehnsuchtsroman über den Traum von Freiheit, Liebe und Meer</a></center> </p>","Immer am Meer entlang: Roman | Ein mitreißender Sehnsuchtsroman über den Traum von Freiheit, Liebe und Meer",21,immer-am-meer-entlang-roman-ein-mitreiender-sehnsuchtsroman-ber-den-traum-von-freiheit-liebe-und-mee
2023-07-05 22:05:56.436474,"<p> <center><a href=""https://www.amazon.de/dp/3829719299?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51HSqnYZ7GL._SX282_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> Eine Insel mit viel Geschichte: Mit dem MARCO POLO Reiseführer auf Kreta unterwegs Faszinierende Städte, vielfältige Strände und zerklüftete Berglandschaften: Kreta ist eine der urigsten Inseln Europa...","<p> <center><a href=""https://www.amazon.de/dp/3829719299?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51HSqnYZ7GL._SX282_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> Eine Insel mit viel Geschichte: Mit dem MARCO POLO Reiseführer auf Kreta unterwegs Faszinierende Städte, vielfältige Strände und zerklüftete Berglandschaften: Kreta ist eine der urigsten Inseln Europas. Egal, ob du vom Strand aus Fischerbooten beobachtest, zwischen den antiken Ruinen der Akropolis von Polirrinía die Ruhe in der Natur genießt oder in einem der 60 Clubs von Mália die Nächte durchfeierst – auf Kreta wirst du viel unterwegs sein! Mit den MARCO POLO Insider-Tipps verpasst du keines der Highlights, die die griechische Insel zu bieten hat.Alles für den perfekten Inselurlaub: Extra-Tipps für Low-Budget, Familien und schlechtes WetterMezze, Rakí und griechischer Kaffee: Entdecke tolle Cafés und Tavernen mit den MARCO POLO Restaurant-Tipps!MARCO POLO Erlebnistouren: Ausflüge und Stadtrundgänge für Bummler und HobbyhistorikerRuckzuck in Urlaubslaune mit Musik-Playlists, Blogs und Buch-TippsSmarter reisen mit der kostenlosen MARCO POLO Touren-App (mit Online- und Offlinekarten)Weniger suchen, mehr entdecken: Alles, was du für eine unvergessliche Kreta-Reise brauchst!Schon vor deinem Urlaub bietet dir der MARCO POLO Reiseführer Kreta hilfreiche Infos zu Anreise, Übernachtungsmöglichkeiten und der besten Reisezeit. Erkunde die vielfältigen Regionen der Insel abseits der Touri-Hotspots: Palmenstrand und einsame Buchten in Sitía, ein Hauch von Afrika in Ierápetra oder die quirlige Großstadt Iráklio – was darf es sein? Mit dem MARCO POLO Reiseführer Kreta stellst du dir genau den Urlaub zusammen, auf den du Lust hast! <p><strong>   Part of series      MARCO POLO Reiseführer E-Book   <br>   Print length      156 pages   <br>   Language      German   <br>   Publisher      MAIRDUMONT   <br>   Publication date      22 Feb. 2023   <br>   Dimensions      10.8 x 1.4 x 19 cm   <br>   ISBN-10      3829719299   <br>   ISBN-13      978-3829719292   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3829719299?&tag=buch0ed-21"" target=""_blank"">MARCO POLO Reiseführer Kreta: Reisen mit Insider-Tipps. Inkl. kostenloser Touren-App</a></center> </p>",MARCO POLO Reiseführer Kreta: Reisen mit Insider-Tipps. Inkl. kostenloser Touren-App,21,marco-polo-reisefhrer-kreta-reisen-mit-insidertipps-inkl-kostenloser-tourenap
2023-07-05 22:06:00.303514,"<p> <center><a href=""https://www.amazon.de/dp/3829719477?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51s6kwuOa9L._SX282_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> Fish and Chips, Westminster Abbey und die Queen: Mit dem MARCO POLO Reiseführer London entdecken London perfekt im Überblick: Auf den Spuren von Julia Roberts und Hugh Grant durch Notting Hill wandeln...","<p> <center><a href=""https://www.amazon.de/dp/3829719477?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51s6kwuOa9L._SX282_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> Fish and Chips, Westminster Abbey und die Queen: Mit dem MARCO POLO Reiseführer London entdecken London perfekt im Überblick: Auf den Spuren von Julia Roberts und Hugh Grant durch Notting Hill wandeln, im Hyde Park ein Picknick veranstalten oder in der National Portrait Gallery beim Malunterricht selbst zum Pinsel greifen – London ist auf jeden Fall einen Besuch wert! Mit dem MARCO POLO Reiseführer London bist du gerüstet für deine Städtereise oder deinen Wochenendtrip:Das Beste zuerst: Tipps für Regenwetter, Urlaub mit Kindern und Low-Budget-AusflügeErlebnistouren durch die spannendsten Stadtviertel abseits der Touristen-Hotspots: schnell und unkompliziert mit dem praktischen Stadtplan zum AusklappenShoppen oder Party? Beides! Mit den MARCO POLO Insider-Tipps findest du die beliebtesten Einkaufstempel und Ausgeh-Hotspots der LondonerUrlaubsstimmung schon vor der Anreise: mit Musik-Playlists, Buch- und Filmtipps für deinen London-TripWeniger suchen, mehr entdecken: Im MARCO POLO Reiseführer London steckt alles, was du für deinen Urlaub brauchst!Mit den Online- und Offline-Karten der MARCO POLO Touren App verlierst du nie die Orientierung und kannst die interessantesten Orte in deinem Tagesplan speichern. So stellst du dir genau die Reise zusammen, auf die du Lust hast! Die MARCO POLO Erlebnistouren durch London bieten dir Spaziergänge für jeden Geschmack und jede Ausdauer, sodass dir nichts entgeht – von Big Ben bis Buckingham Palace.Lass dich vom Trubel der britischen Metropole anstecken und erlebe einen unvergesslichen Urlaub mit dem MARCO POLO Reiseführer London! <p><strong>   Part of series      MARCO POLO Reiseführer E-Book   <br>   Print length      160 pages   <br>   Language      German   <br>   Publisher      MAIRDUMONT   <br>   Publication date      20 Feb. 2023   <br>   Dimensions      10.8 x 1.5 x 19 cm   <br>   ISBN-10      3829719477   <br>   ISBN-13      978-3829719476   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3829719477?&tag=buch0ed-21"" target=""_blank"">MARCO POLO Reiseführer London: Reisen mit Insider-Tipps. Inkl. kostenloser Touren-App</a></center> </p>",MARCO POLO Reiseführer London: Reisen mit Insider-Tipps. Inkl. kostenloser Touren-App,21,marco-polo-reisefhrer-london-reisen-mit-insidertipps-inkl-kostenloser-tourenap
